"Nome da conta",Idade,Gênero,Anúncios,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Início dos relatórios","Término dos relatórios"
"Pandox inspirações Conta de anúncios",18-24,male,"Novo anúncio de Engajamento",1,1,1,BRL,0.05,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,female,"Novo anúncio de Engajamento",1,1,1,BRL,0.05,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Video brincadeira;...e mais 1 anúncio",47,48,1.0212766,BRL,0.04925,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,male,"Publicação do Instagram: Pulseira 80,00 💳
1 charm...",5,5,1,BRL,0.04,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,male,"v1 - localização;...e mais 1 anúncio",4,4,1,BRL,0.04,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Video Super Promoção",3,4,1.33333333,BRL,0.04,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Novo anúncio de Engajamento",2,2,1,BRL,0.04,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,male,"Video comece pelos acessórios;...e mais 1 anúncio",32,44,1.375,BRL,0.03984887,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,male,"Video localização;...e mais 2 anúncios",28,28,1,BRL,0.0389662,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,male,"Novo anúncio de Engajamento;...e mais 2 anúncios",5,5,1,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
